player_id,position,oaa_rating,arm_rating,arm_rating_filled
695506,RF,7,91,91
695578,LF,20,47,47
695657,SS,83,40,40
695681,2B,30,50,50
695734,RF,10,9,9
696285,CF,98,55,55
700242,SS,16,5,5
700932,1B,30,16,16
701358,RF,70,66,66
701538,CF,83,94,94
701762,1B,9,41,41
702284,2B,4,4,4
702332,3B,71,28,28
702358,3B,39,,50
702616,2B,20,85,85
802415,CF,8,45,45
805300,CF,62,41,41
805367,SS,55,23,23
805373,3B,71,30,30
805779,SS,35,94,94
807712,2B,30,8,8
807713,3B,39,36,36
807799,LF,10,,50
808982,CF,6,82,82
810938,3B,50,60,60
457759,1B,,37,37
514888,LF,,6,6
521692,1B,,15,15
545361,RF,,33,33
571657,2B,,8,8
572191,LF,,80,80
572191,RF,,50,50
595879,CF,,67,67
596103,RF,,62,62
602104,2B,,15,15
608701,RF,,54,54
621043,3B,,71,71
624428,LF,,4,4
624641,2B,,41,41
628451,3B,,2,2
641313,2B,,69,69
641933,RF,,75,75
641943,RF,,69,69
642201,LF,,56,56
642201,RF,,57,57
643289,SS,,73,73
643396,3B,,16,16
643446,CF,,15,15
645302,RF,,84,84
646240,1B,,82,82
650489,LF,,86,86
650489,RF,,60,60
655316,SS,,28,28
656716,RF,,46,46
656716,SS,,81,81
656976,1B,,78,78
657557,3B,,22,22
660821,LF,,82,82
660844,2B,,34,34
663616,RF,,4,4
663853,1B,,38,38
663853,2B,,44,44
663968,CF,,26,26
663968,RF,,24,24
664056,LF,,66,66
664059,LF,,13,13
664238,RF,,3,3
664770,CF,,45,45
664770,LF,,86,86
664774,RF,,31,31
664983,LF,,4,4
665019,1B,,72,72
665750,RF,,86,86
665862,3B,,76,76
665926,SS,,56,56
666134,CF,,98,98
666158,LF,,66,66
666181,LF,,36,36
666211,CF,,23,23
666211,LF,,10,10
667472,RF,,94,94
668885,LF,,41,41
668942,2B,,58,58
669003,CF,,72,72
669065,RF,,64,64
669236,RF,,67,67
669242,CF,,6,6
669701,SS,,49,49
669707,SS,,57,57
669743,LF,,34,34
670042,1B,,9,9
670042,RF,,42,42
670223,1B,,86,86
670224,CF,,9,9
670231,LF,,23,23
670231,RF,,30,30
671221,LF,,72,72
671732,CF,,27,27
672284,RF,,80,80
672356,2B,,99,99
672744,CF,,78,78
672744,LF,,71,71
672744,RF,,78,78
672820,1B,,20,20
673548,LF,,95,95
676070,SS,,36,36
676356,CF,,50,50
676391,2B,,18,18
676391,SS,,7,7
676475,1B,,24,24
676475,RF,,33,33
676609,RF,,37,37
676701,SS,,69,69
677008,LF,,42,42
677347,2B,,88,88
677347,CF,,62,62
677587,2B,,54,54
677588,3B,,86,86
677595,3B,,91,91
677649,SS,,92,92
677942,2B,,23,23
678246,1B,,41,41
678882,2B,,54,54
679845,LF,,60,60
680474,2B,,25,25
680718,RF,,98,98
680737,CF,,52,52
680977,LF,,56,56
681460,LF,,47,47
681481,LF,,25,25
681624,RF,,96,96
681715,LF,,74,74
682641,RF,,69,69
682653,1B,,92,92
682657,2B,,96,96
682729,LF,,63,63
682988,1B,,45,45
683146,2B,,54,54
686797,2B,,81,81
686894,RF,,63,63
687231,SS,,14,14
687551,RF,,57,57
687637,LF,,44,44
689172,2B,,70,70
690022,2B,,86,86
690022,SS,,2,2
690993,3B,,65,65
691182,2B,,3,3
691594,2B,,58,58
691594,3B,,20,20
691594,LF,,15,15
691720,3B,,42,42
691777,2B,,67,67
691785,3B,,26,26
692216,RF,,19,19
692585,RF,,99,99
694374,2B,,5,5
694388,LF,,7,7
694671,CF,,48,48
695336,2B,,28,28
695336,SS,,52,52
695734,LF,,28,28
696030,LF,,76,76
700246,SS,,77,77
700250,1B,,7,7
701350,RF,,12,12
702176,LF,,83,83
802415,LF,,32,32
805367,2B,,16,16
808975,2B,,95,95
